Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
17.930063009262085	85	254.488116309	6.54313575837	268.68316974	239.219853572	20.0	0.0	51	4386	1020	87720
18.131201028823853	86	255.344140457	7.72703222262	268.586083598	234.924435588	20.0	0.0	51	4437	1020	88740
18.331337451934814	87	254.714694904	7.90383152144	268.149654744	229.835562871	20.0	0.0	51	4488	1020	89760
18.535475730895996	88	255.373084367	8.96460303749	270.334672626	227.199916698	20.0	0.0	51	4539	1020	90780
18.735612154006958	89	256.250686576	7.32843837626	269.119145951	238.194736819	20.0	0.0	51	4590	1020	91800
18.9377498626709	90	257.617222195	7.04220639522	270.644467564	241.228427132	20.0	0.0	51	4641	1020	92820
19.135885000228882	91	255.447596185	8.55592759329	267.846052438	230.39702283	20.0	0.0	51	4692	1020	93840
19.33101749420166	92	256.848339279	8.49892244003	274.456151025	238.55238161	20.0	0.0	51	4743	1020	94860
19.529152870178223	93	257.789227516	8.35062110583	270.185513031	235.77942889	20.0	0.0	51	4794	1020	95880
19.727288722991943	94	260.935354293	7.56516564536	273.279768058	242.486949081	20.0	0.0	51	4845	1020	96900
19.924423217773438	95	257.367969185	9.63187023607	273.577211054	234.35839232	20.0	0.0	51	4896	1020	97920
20.11755394935608	96	258.782543959	7.97838677368	270.8755721	235.146072873	20.0	0.0	51	4947	1020	98940
20.314688444137573	97	258.915611502	8.68662257448	276.798445129	236.694303635	20.0	0.0	51	4998	1020	99960
20.513824224472046	98	258.658040767	10.0238088171	274.233352046	229.655583978	20.0	0.0	51	5049	1020	100980
20.70995783805847	99	262.061535136	9.604144793	274.831616981	235.467383296	20.0	0.0	51	5100	1020	102000
20.908093452453613	100	259.388134453	9.22389132431	278.815315664	229.474843042	20.0	0.0	51	5151	1020	103020
21.102225303649902	101	260.962469013	9.28256366641	274.754037197	230.724789402	20.0	0.0	51	5202	1020	104040
21.298358917236328	102	260.41629997	9.6188492918	276.230334568	240.192894328	20.0	0.0	51	5253	1020	105060
21.49649405479431	103	258.802851939	14.0380940925	275.328557431	195.482353522	20.0	0.0	51	5304	1020	106080
21.695630073547363	104	261.625819461	9.10370368487	279.969009932	242.019534494	20.0	0.0	51	5355	1020	107100
21.894765377044678	105	260.487628328	9.99539436955	277.648229325	233.466845521	20.0	0.0	51	5406	1020	108120
22.08889865875244	106	263.701864626	11.1906455975	280.759569655	203.980334373	20.0	0.0	51	5457	1020	109140
22.287041902542114	107	262.557324963	8.35784035416	277.774038666	245.530267816	20.0	0.0	51	5508	1020	110160
22.484176635742188	108	261.731499888	7.2519737074	273.365007542	246.636738421	20.0	0.0	51	5559	1020	111180
22.679319858551025	109	264.644226242	8.65011262484	278.896240844	239.041158744	20.0	0.0	51	5610	1020	112200
22.88145923614502	110	263.555547411	8.21199240087	275.716929261	242.971778889	20.0	0.0	51	5661	1020	113220
